id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
19248273,https://www.airbnb.com/rooms/19248273,Ocean Oasis in the Heart of Cambridge,https://a0.muscache.com/im/pictures/5e1283a3-73b2-436a-b210-1506376fe097.jpg?aki_policy=large,42.36073,-71.11438,4,2,111,200,166,100,4.58,28
19251505,https://www.airbnb.com/rooms/19251505,Harvard/MIT 2 Bed 2 Bath luxury apartment,https://a0.muscache.com/im/pictures/51079576-2acb-4918-9ecd-54236df42c82.jpg?aki_policy=large,42.36689,-71.09894,4,3,250,120,5,95,0.16,91
19295898,https://www.airbnb.com/rooms/19295898,Cambridge  convenient location,https://a0.muscache.com/im/pictures/14cf16df-0454-4dea-a5a4-f01b1ab9e5e6.jpg?aki_policy=large,42.37184,-71.08475,1,1,65,10,191,98,5.37,2
19307734,https://www.airbnb.com/rooms/19307734,Peaceful Botanical Garden MIT Harvard BioTech,https://a0.muscache.com/im/pictures/aa9bbaff-4748-465f-b3d8-3b98ff8633fe.jpg?aki_policy=large,42.3672,-71.09614,6,3,599,169,16,98,0.54,1
19328997,https://www.airbnb.com/rooms/19328997,"Pristine bed & private bath near Harvard, MIT&MBTA",https://a0.muscache.com/im/pictures/c67848cd-452e-4f7f-8567-5e10929fdd8c.jpg?aki_policy=large,42.37177,-71.10222,2,1,109,40,121,100,3.32,2
19346242,https://www.airbnb.com/rooms/19346242,WALK to HARVARD&MIT with MEMORY BED 4,https://a0.muscache.com/im/pictures/0523f541-7f36-42ae-a591-539281ae2f08.jpg?aki_policy=large,42.36488,-71.10395,2,2,99,0,245,89,6.8,1
19346436,https://www.airbnb.com/rooms/19346436,WALK to HARVARD&MIT with MEMORY BED 6,https://a0.muscache.com/im/pictures/d04805e3-b268-436c-a708-1be3964dd68f.jpg?aki_policy=large,42.3643,-71.10339,2,1,99,0,261,92,7.22,1
19376539,https://www.airbnb.com/rooms/19376539,"Private room in Harvard square 3, good to sleep",https://a0.muscache.com/im/pictures/80a008fb-66b4-46c3-a35f-b27541dcf603.jpg?aki_policy=large,42.37489,-71.123,1,1,39,15,2,90,0.2,14
19423076,https://www.airbnb.com/rooms/19423076,"Classic Cambridge Victorian near Harvard, Lesley",https://a0.muscache.com/im/pictures/d29edf6e-684c-4d06-a757-2289a7ec733a.jpg?aki_policy=large,42.38766,-71.12579,6,3,270,95,115,99,3.2,1
19426275,https://www.airbnb.com/rooms/19426275,Amazing Apartment! Close to EVERYTHING!,https://a0.muscache.com/im/pictures/1a7bece1-5399-4d2b-877e-a14498d0585d.jpg?aki_policy=large,42.36758,-71.08318,2,1,183,30,74,96,2.04,4
19847550,https://www.airbnb.com/rooms/19847550,*New Construction Luxury Kendall Square Townhouse*,https://a0.muscache.com/im/pictures/2bda81f4-0eae-40f1-9040-39bbdc0877de.jpg?aki_policy=large,42.3663,-71.09353,10,5,600,300,0,0,0,91
19911587,https://www.airbnb.com/rooms/19911587,WALK to HARVARD&MIT with MEMORY BED 5,https://a0.muscache.com/im/pictures/e9d16330-5bf1-46ba-aa9d-485753aa4958.jpg?aki_policy=large,42.36553,-71.1092,2,1,99,0,157,90,4.41,1
19942644,https://www.airbnb.com/rooms/19942644,#3A - HARVARD MIT LOCATION! SPOTLESS 1BR!,https://a0.muscache.com/im/pictures/d320171a-e561-4e8d-8e8f-7f3d1fe16a17.jpg?aki_policy=large,42.36765,-71.1059,2,1,225,150,80,98,2.3,30
20024644,https://www.airbnb.com/rooms/20024644,Bright & updated 2BR in Central Sq! Harvard/MIT,https://a0.muscache.com/im/pictures/7a4d270c-495d-4046-a36f-852ac70d5ff9.jpg?aki_policy=large,42.36282,-71.10472,6,2,203,99,116,97,3.29,30
20074456,https://www.airbnb.com/rooms/20074456,Charles River/Harvard Square - free parking,https://a0.muscache.com/im/pictures/9f0658ab-a835-4b24-8a9c-e26a67de1278.jpg?aki_policy=large,42.37426,-71.12797,6,2,175,60,143,92,4.07,1
20074638,https://www.airbnb.com/rooms/20074638,SUNNY APT near MIT/HARVARD Central Sq-FREE PARKING,https://a0.muscache.com/im/pictures/089882fa-4a7f-4c80-988a-1a6c77522708.jpg?aki_policy=large,42.36396,-71.10956,5,3,150,49,109,96,3.24,2
20150500,https://www.airbnb.com/rooms/20150500,Nice 2 bedroom in Kendall Square Cambridge,https://a0.muscache.com/im/pictures/4c40f345-66fd-492d-bd7f-d9515e1ec532.jpg?aki_policy=large,42.363,-71.08307,6,3,260,100,35,95,1.31,91
20153407,https://www.airbnb.com/rooms/20153407,Private room in spacious home near Harvard Square,https://a0.muscache.com/im/pictures/f14ced36-1a2e-4da1-83ca-0027bce0b938.jpg?aki_policy=large,42.37139,-71.10793,1,1,78,50,14,95,0.41,91
20355928,https://www.airbnb.com/rooms/20355928,#4B - Harvard/MIT AMAZING LOCATION SPOTLESS 1BR!,https://a0.muscache.com/im/pictures/ad5becf2-4936-40dc-b298-be0aa0d07695.jpg?aki_policy=large,42.3677,-71.10584,4,1,125,150,71,98,2.07,30
20403205,https://www.airbnb.com/rooms/20403205,Designer-style 1-BR  next to MIT,https://a0.muscache.com/im/pictures/72b06db9-5a7b-4b3f-a0f6-04b1184ec54f.jpg?aki_policy=large,42.3643,-71.08213,3,2,135,100,0,0,0,91
20403672,https://www.airbnb.com/rooms/20403672,#2A - HARVARD MIT CAMBRIDGE! SPOTLESS 1BR!,https://a0.muscache.com/im/pictures/851befb4-927b-49b3-8f9a-d318cc4c9d20.jpg?aki_policy=large,42.3677,-71.10584,2,1,225,150,87,97,2.55,30
20419752,https://www.airbnb.com/rooms/20419752,Spacious Kid Friendly 3BR w/ A/C near MIT/Harvard,https://a0.muscache.com/im/pictures/pro_photo_tool/Hosting-20419752-unapproved/original/969a4c48-35d9-4f93-b882-6901763d6d39.JPEG?aki_policy=large,42.36457,-71.10181,6,3,279,125,127,98,3.81,1
20462256,https://www.airbnb.com/rooms/20462256,"Quirky, Cozy 1 Bedroom in Kendall Square",https://a0.muscache.com/im/pictures/955ea830-7f1f-4311-9941-008278f1797f.jpg?aki_policy=large,42.36709,-71.08156,4,2,145,75,134,89,3.88,1
20476550,https://www.airbnb.com/rooms/20476550,"Charming New 2-BR Condo Near Harvard, MIT, HBS",https://a0.muscache.com/im/pictures/29211171-cd04-49d6-8042-82912f2550c2.jpg?aki_policy=large,42.36583,-71.11297,4,2,220,50,34,96,1.04,91
20504268,https://www.airbnb.com/rooms/20504268,Beautiful 2 Bed 2 Private Bath near MIT/Harvard,https://a0.muscache.com/im/pictures/2fcdf5a1-f47d-4d75-9475-7b4440793c35.jpg?aki_policy=large,42.37332,-71.09803,6,3,275,75,0,0,0,91
20572514,https://www.airbnb.com/rooms/20572514,#4A - Walk Harvard/MIT LOCATION IMMACULATE 1BR APT,https://a0.muscache.com/im/pictures/80fc7d18-2177-4a60-aafb-f8c8e3cab2ef.jpg?aki_policy=large,42.3677,-71.10584,4,1,201,150,59,97,1.74,30
20589244,https://www.airbnb.com/rooms/20589244,Modern room in the heart of Cambridge,https://a0.muscache.com/im/pictures/05c69fa1-2e7d-4520-8102-e8b081d856b1.jpg?aki_policy=large,42.37163,-71.10135,1,1,80,130,13,98,0.43,5
20597669,https://www.airbnb.com/rooms/20597669,Private Bedroom & Bath Near Harvard with Parking,https://a0.muscache.com/im/pictures/1ada0b0c-0ff3-4486-9e60-318242606675.jpg?aki_policy=large,42.37806,-71.10838,2,1,160,50,50,100,1.47,3
20602168,https://www.airbnb.com/rooms/20602168,Cozy room in the heart of Cambridge,https://a0.muscache.com/im/pictures/f7456a54-16f8-44aa-8d1d-49bbcd59d7dd.jpg?aki_policy=large,42.37124,-71.10012,1,1,79,40,9,91,0.35,5
