id,listing_url,name,picture_url,latitude,longitude,accommodates,beds,price,cleaning_fee,number_of_reviews,review_scores_rating,reviews_per_month,minimum_nights
533114,https://www.airbnb.com/rooms/533114,The Sawyer RedLine | 2BR 2.5BA | 1st Floor unit on Redline to Mass General and BMC!,https://a0.muscache.com/im/pictures/f4ef7679-5f10-41ae-b3f8-0b57cb8b23e5.jpg?aki_policy=large,42.3122,-71.0611,6,2,154,150,53,90,0.56,32
533152,https://www.airbnb.com/rooms/533152,The Penthouse Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,https://a0.muscache.com/im/pictures/a47538ec-f82d-469f-89ff-3a885c796362.jpg?aki_policy=large,42.32212,-71.06096,5,2,113,150,55,91,0.73,32
561769,https://www.airbnb.com/rooms/561769,The Sky View Redline | 3BR 1BA | Mass General and Boston Medical!,https://a0.muscache.com/im/pictures/659fa40b-bdc3-4ba7-90c0-901b4577c941.jpg?aki_policy=large,42.31371,-71.06126,6,7,103,150,59,86,0.62,29
568234,https://www.airbnb.com/rooms/568234,City's Hippest Location/Two Bedrooms,https://a0.muscache.com/im/pictures/7608075/91664313_original.jpg?aki_policy=large,42.3036,-71.10539,4,2,95,0,270,97,2.8,1
579605,https://www.airbnb.com/rooms/579605,The Mayhew Redline | 2BR 1BA | Walk to the Redline for UMass and Mass General!,https://a0.muscache.com/im/pictures/e99584f2-e17f-44df-a25c-ef66ca65e43b.jpg?aki_policy=large,42.32212,-71.06095,5,2,113,150,52,90,0.55,32
583255,https://www.airbnb.com/rooms/583255,"Boston Beauty, Walk to C and B line",https://a0.muscache.com/im/pictures/108281092/d1263983_original.jpg?aki_policy=large,42.34171,-71.14851,2,1,149,50,20,100,0.35,91
601763,https://www.airbnb.com/rooms/601763,"The Alameda 2 Commuter Rail | 2BR 1BA | Brookline Area, free parking near Faulkner!",https://a0.muscache.com/im/pictures/2c6f8e5a-a017-436f-8566-b97231044dd8.jpg?aki_policy=large,42.29192,-71.15407,5,5,128,150,37,91,0.95,32
611081,https://www.airbnb.com/rooms/611081,Houseboat in Boston Harbor,https://a0.muscache.com/im/pictures/7739101/2b09abdd_original.jpg?aki_policy=large,42.37579,-71.04981,6,4,325,159,35,93,0.77,2
619142,https://www.airbnb.com/rooms/619142, Getaway in Historic Charlestown,https://a0.muscache.com/im/pictures/8260493/76d63023_original.jpg?aki_policy=large,42.37808,-71.06343,2,1,175,0,168,96,1.76,91
646087,https://www.airbnb.com/rooms/646087,1 Bed in Charming Southie Townhouse near BCEC,https://a0.muscache.com/im/pictures/8363065/f7de2605_original.jpg?aki_policy=large,42.33477,-71.04995,1,1,188,175,7,100,0.14,1
658029,https://www.airbnb.com/rooms/658029,Trendy Fun Spot|Historic South End | 1BR 1BA #1,https://a0.muscache.com/im/pictures/e70f11b1-a45f-4a04-bb20-c4b51598e8c4.jpg?aki_policy=large,42.33922,-71.08141,4,1,200,125,117,85,1.24,30
697078,https://www.airbnb.com/rooms/697078,Spacious 1 bed facing State House,https://a0.muscache.com/im/pictures/98d71cf7-8068-4fd7-8a0f-5890889b8e4c.jpg?aki_policy=large,42.35893,-71.06331,2,1,175,250,19,92,0.31,91
708802,https://www.airbnb.com/rooms/708802,Boston / Charlestown Apartment,https://a0.muscache.com/im/pictures/9611597/4299acac_original.jpg?aki_policy=large,42.37755,-71.0628,4,2,100,25,374,98,4.01,2
743211,https://www.airbnb.com/rooms/743211,Unique Find: At Home in the City!,https://a0.muscache.com/im/pictures/13093725/9fac7b33_original.jpg?aki_policy=large,42.30581,-71.1126,10,5,550,110,75,97,0.85,3
743759,https://www.airbnb.com/rooms/743759,AVAILABLE NOW: Private room & shared bath,https://a0.muscache.com/im/pictures/13949124/31a1db59_original.jpg?aki_policy=large,42.29424,-71.13183,1,1,25,0,5,96,0.06,91
753446,https://www.airbnb.com/rooms/753446,6 miles away from downtown Boston!,https://a0.muscache.com/im/pictures/b4dd9052-4914-4c78-8967-4905ebe1b140.jpg?aki_policy=large,42.28588,-71.12491,2,2,50,40,142,96,2.45,91
771309,https://www.airbnb.com/rooms/771309,Room for rent in shared apartment,https://a0.muscache.com/im/pictures/10769347/bb7001f9_original.jpg?aki_policy=large,42.30805,-71.04966,1,1,59,50,2,100,0.03,91
798957,https://www.airbnb.com/rooms/798957,"★Discounted★ NearHospitals★2floors★ 2 Baths,2beds",https://a0.muscache.com/im/pictures/7f7b4b4a-4b12-42fd-bfdb-fc5aa5448f0c.jpg?aki_policy=large,42.34232,-71.07594,4,2,347,90,417,97,4.82,28
801680,https://www.airbnb.com/rooms/801680,*$89 Special!  BOSTONS BEST!!* Minutes to Center*,https://a0.muscache.com/im/pictures/7189f561-e17b-4db3-8eda-00a00cc51054.jpg?aki_policy=large,42.32852,-71.09539,4,1,169,80,57,97,0.62,3
801722,https://www.airbnb.com/rooms/801722,$79 Special!!  Minutes to Center!  Private Space,https://a0.muscache.com/im/pictures/298aacab-979b-4652-9035-a0d024155504.jpg?aki_policy=large,42.32819,-71.09405,2,1,149,60,54,95,0.59,3
820073,https://www.airbnb.com/rooms/820073,"Modern Loft, 1700 SqFt. Location!",https://a0.muscache.com/im/pictures/15986243/f028d755_original.jpg?aki_policy=large,42.3558,-71.06104,4,2,275,100,78,99,0.9,2
826706,https://www.airbnb.com/rooms/826706,Private Room in Spacious Apartment3,https://a0.muscache.com/im/pictures/11737183/420ef4ab_original.jpg?aki_policy=large,42.29996,-71.0806,2,2,79,30,7,66,0.08,91
839265,https://www.airbnb.com/rooms/839265,Private Room in Spacious Apartment2,https://a0.muscache.com/im/pictures/11925475/b9d8cef0_original.jpg?aki_policy=large,42.29822,-71.07621,1,1,61,30,26,90,0.29,91
849408,https://www.airbnb.com/rooms/849408,"Perfect & Practical Boston Rental (1,000+ sqft)",https://a0.muscache.com/im/pictures/55a89311-e507-4be6-b381-9809638dbb41.jpg?aki_policy=large,42.28882,-71.13951,6,3,239,100,151,98,1.93,4
863788,https://www.airbnb.com/rooms/863788,"Roof deck-city views. Walk everywhere! 2BR, 2 bath",https://a0.muscache.com/im/pictures/e9ec08ba-a8f2-4bec-bf85-af0e5fd4c801.jpg?aki_policy=large,42.34367,-71.0708,5,2,385,100,9,100,0.1,2
891661,https://www.airbnb.com/rooms/891661,GORGEOUS WATER FRT NORTH END STUDIO,https://a0.muscache.com/im/pictures/12932049/42ce98e7_original.jpg?aki_policy=large,42.36853,-71.05363,4,2,125,50,407,93,4.62,2
894539,https://www.airbnb.com/rooms/894539,Private room in house,https://a0.muscache.com/im/pictures/23866863/a33a52fe_original.jpg?aki_policy=large,42.2909,-71.13024,2,1,90,15,59,97,0.73,30
962610,https://www.airbnb.com/rooms/962610,Convenient Boston Hotel Alternative,https://a0.muscache.com/im/pictures/35703662/880fbc01_original.jpg?aki_policy=large,42.29053,-71.14106,3,1,119,50,92,98,1.1,3
973695,https://www.airbnb.com/rooms/973695,"Boston Center, Sleeps 1 to 4 people",https://a0.muscache.com/im/pictures/103300108/8a612eb8_original.jpg?aki_policy=large,42.35929,-71.06086,4,2,250,295,60,95,0.73,91
989163,https://www.airbnb.com/rooms/989163,5 ★ Victorian Dream,https://a0.muscache.com/im/pictures/d61d8170-cf81-43bd-b457-b438e412655a.jpg?aki_policy=large,42.34308,-71.07316,2,1,170,125,54,97,0.65,3
990668,https://www.airbnb.com/rooms/990668,✔Arlington✔Skydeck ✔Walk Score 95✔Full Kitchen,https://a0.muscache.com/im/pictures/58b869d2-0423-4740-884a-9dcbece36b2f.jpg?aki_policy=large,42.34232,-71.07595,2,1,156,45,293,99,3.43,3
1009275,https://www.airbnb.com/rooms/1009275,Urban Treehouse,https://a0.muscache.com/im/pictures/eff6ecb0-ee66-4333-a541-7c8c7f3b2eec.jpg?aki_policy=large,42.33269,-71.04536,2,1,120,80,85,100,2.15,1
1030500,https://www.airbnb.com/rooms/1030500,"Cozy apartment, free parking, quiet neighborhood",https://a0.muscache.com/im/pictures/15491032/87241103_original.jpg?aki_policy=large,42.29106,-71.11594,2,1,107,25,20,92,0.23,1
1038465,https://www.airbnb.com/rooms/1038465,HANCOCK TOWER/COPLEY ROOM,https://a0.muscache.com/im/pictures/38143869/dc78d4d7_original.jpg?aki_policy=large,42.34644,-71.07481,1,1,140,26,257,90,2.94,2
1042420,https://www.airbnb.com/rooms/1042420,"Easy access to Airport, Downtown, Seaport. Fenway",https://a0.muscache.com/im/pictures/17209353/29fef508_original.jpg?aki_policy=large,42.38362,-71.02023,3,1,170,60,87,94,1.03,2
1055627,https://www.airbnb.com/rooms/1055627,Spacious 1 bdrm in Beacon Hill ,https://a0.muscache.com/im/pictures/15879332/adb3cee3_original.jpg?aki_policy=large,42.36076,-71.06399,3,1,125,0,8,85,0.09,91
1058448,https://www.airbnb.com/rooms/1058448,Private room in Boston,https://a0.muscache.com/im/pictures/18306803/245936e2_original.jpg?aki_policy=large,42.31218,-71.10473,2,1,80,0,40,100,0.46,1
1071235,https://www.airbnb.com/rooms/1071235,Cozy JP Studio-Great Location!,https://a0.muscache.com/im/pictures/9cfa07fc-1344-41fe-bdf7-749fdc6f3bca.jpg?aki_policy=large,42.31748,-71.10819,2,1,90,60,327,96,3.79,2
1077105,https://www.airbnb.com/rooms/1077105,"Studio Apt. for Rent in South End, ",https://a0.muscache.com/im/pictures/16199325/7e1a7580_original.jpg?aki_policy=large,42.34022,-71.075,2,1,176,0,0,0,0,91
1090413,https://www.airbnb.com/rooms/1090413,QuietStreetHynesConventionCtr-5min-Lge Rm-Pvt Bath,https://a0.muscache.com/im/pictures/51151453/d3689496_original.jpg?aki_policy=large,42.34502,-71.0803,1,1,103,60,166,93,2.32,3
1090545,https://www.airbnb.com/rooms/1090545,QuietStreetBostonCtrBackBay-Pvt Bath&Rm-Comfy Bed,https://a0.muscache.com/im/pictures/51151617/75b5df41_original.jpg?aki_policy=large,42.34373,-71.08224,1,1,103,60,117,93,1.37,3
1092093,https://www.airbnb.com/rooms/1092093,Duplex Penthouse in Longwood Area,https://a0.muscache.com/im/pictures/16426211/12248da8_original.jpg?aki_policy=large,42.33285,-71.10115,2,1,95,150,32,93,0.37,91
1109224,https://www.airbnb.com/rooms/1109224,4 bedroom Victorian Condo unit,https://a0.muscache.com/im/pictures/17730638/4f5395df_original.jpg?aki_policy=large,42.32051,-71.11216,8,6,439,150,74,95,0.9,2
1161210,https://www.airbnb.com/rooms/1161210,Cozy rooms with parking and Wi-Fi 波士顿近郊舒适的睡房附带免费｡｡,https://a0.muscache.com/im/pictures/18198275/08dce55d_original.jpg?aki_policy=large,42.27176,-71.16759,6,4,70,50,209,91,2.44,28
1167987,https://www.airbnb.com/rooms/1167987,Long-term Rental: Single Room/Sh Bath/No Cooking,https://a0.muscache.com/im/pictures/5635fbe5-cea8-4d81-984d-e15edb9495ae.jpg?aki_policy=large,42.29317,-71.13016,1,1,26,0,8,83,0.1,91
1171578,https://www.airbnb.com/rooms/1171578, Private Room in a One Family House,https://a0.muscache.com/im/pictures/18698922/994fd87e_original.jpg?aki_policy=large,42.35384,-71.16795,2,2,99,0,249,97,3.01,1
1187188,https://www.airbnb.com/rooms/1187188,Entire loft in Boston,https://a0.muscache.com/im/pictures/5ee36dd4-6b83-4265-b9c4-08ee7848b1a7.jpg?aki_policy=large,42.30693,-71.10789,4,3,136,120,28,96,0.37,91
1200502,https://www.airbnb.com/rooms/1200502,Charming Garden Studio In South End,https://a0.muscache.com/im/pictures/33586926/2ac14d6b_original.jpg?aki_policy=large,42.33843,-71.07685,2,1,165,65,96,90,1.18,91
